dataset_id,n,KM,WA,AA,GMd,GMf
6,20000,2.2838754653930664,2.7838265895843506,4.141397476196289,3.0676660537719727,44.15203499794006
11,625,0.05930614471435547,0.04662799835205078,0.04356694221496582,0.15856480598449707,0.2278890609741211
12,2000,0.6082806587219238,0.6323189735412598,0.7288439273834229,3.8707313537597656,7.598016738891602
14,2000,0.5430076122283936,0.5606629848480225,1.021106481552124,0.6299209594726562,11.26996922492981
15,683,0.06572771072387695,0.0737147331237793,0.10348033905029297,0.12252354621887207,0.2433943748474121
16,2000,0.48410582542419434,0.6724472045898438,1.2709288597106934,0.5669898986816406,10.733689308166504
18,2000,0.3506765365600586,0.4261476993560791,0.48178648948669434,0.38645315170288086,0.8884918689727783
22,2000,0.6392579078674316,0.6104094982147217,1.1396543979644775,0.8942148685455322,17.57188129425049
23,1473,0.28084778785705566,0.3481485843658447,0.43108034133911133,0.34867382049560547,0.2804291248321533
28,5620,4.019263505935669,5.534862756729126,7.843602895736694,5.95994758605957,33.32602262496948
29,666,0.12088704109191895,0.12697625160217285,0.07975077629089355,0.2963070869445801,0.3210105895996094
31,1000,0.2654907703399658,0.18010234832763672,0.20398712158203125,0.21193170547485352,0.32478952407836914
32,10992,2.8366682529449463,4.144659996032715,5.791294097900391,4.654187440872192,14.755444049835205
37,768,0.12883567810058594,0.13901734352111816,0.07305264472961426,0.2445230484008789,0.3406081199645996
44,4601,2.226839065551758,3.1919684410095215,1.9019606113433838,11.158202648162842,22.66412377357483
54,846,0.11645197868347168,0.1634831428527832,0.14164400100708008,0.19338369369506836,1.3109192848205566
151,45312,10.72011137008667,11.5657377243042,2.4186594486236572,14.889599084854126,15.700188159942627
182,6430,4.611192941665649,6.147939205169678,10.250085592269897,4.682388067245483,22.979219913482666
188,641,0.07898497581481934,0.06698155403137207,0.0749812126159668,0.1825394630432129,1.299886703491211
300,7797,8.848994731903076,9.406675815582275,12.801445484161377,26.819668292999268,59.881864070892334
307,990,0.12283110618591309,0.12799310684204102,0.1775679588317871,0.2511427402496338,0.6767878532409668
458,841,0.1184089183807373,0.13671565055847168,0.14717388153076172,0.14182209968566895,2.709688901901245
554,70000,8.70522665977478,10.235621929168701,19.915836334228516,12.75222134590149,62.551552534103394
1049,1458,0.46012067794799805,0.6765215396881104,0.20467090606689453,0.524977445602417,3.7940561771392822
1050,1563,0.4147665500640869,0.45967555046081543,0.1871638298034668,0.4662494659423828,2.2369699478149414
1053,10880,10.743880033493042,8.164601802825928,2.1760058403015137,10.57648777961731,11.514026403427124
1063,522,0.03801155090332031,0.0371251106262207,0.03983116149902344,0.18195128440856934,0.7243762016296387
1067,2109,0.7166702747344971,0.7651903629302979,0.3283863067626953,0.8315396308898926,1.8037605285644531
1068,1109,0.18802547454833984,0.24324631690979004,0.10971236228942871,0.29148387908935547,0.5919315814971924
1461,45211,12.079113960266113,15.057522535324097,4.868100881576538,15.78510594367981,15.61434006690979
1462,1372,0.378450870513916,0.39167284965515137,0.39621829986572266,0.3285667896270752,0.3652231693267822
1464,748,0.07878255844116211,0.0866553783416748,0.054587364196777344,0.18143177032470703,0.17619991302490234
1468,1080,1.5645077228546143,0.42528796195983887,0.37108397483825684,1.1712284088134766,20.880395650863647
1475,6118,5.722436189651489,6.755125284194946,5.9420599937438965,5.412912845611572,21.64188003540039
1478,10299,7.275399208068848,9.666742324829102,8.20863938331604,13.644381761550903,23.999605894088745
1480,583,0.06598758697509766,0.07581567764282227,0.03898167610168457,0.18177580833435059,0.34348487854003906
1485,2600,4.573012828826904,4.153560638427734,2.0110666751861572,3.9021542072296143,7.363153457641602
1486,34465,11.699714422225952,13.985325336456299,3.863217353820801,11.521819114685059,23.256335020065308
1487,2534,1.572042465209961,1.7739226818084717,0.9156548976898193,1.985640287399292,18.823203086853027
1489,5404,12.977350950241089,14.685272216796875,4.069087028503418,12.194084405899048,13.051960229873657
1494,1055,0.1714158058166504,0.16478872299194336,0.15787124633789062,0.21186280250549316,0.9960038661956787
1497,5456,8.510205268859863,10.93881893157959,15.58451223373413,9.675887107849121,19.63039803504944
1501,1593,0.4566049575805664,0.473268985748291,0.6536049842834473,3.7955119609832764,5.860443353652954
1510,569,0.06563282012939453,0.06632089614868164,0.046029090881347656,0.1712808609008789,1.2090909481048584
1590,48842,16.319831609725952,17.264363527297974,2.763754367828369,17.860065460205078,17.96076011657715
4134,3751,4.9424216747283936,11.121660470962524,9.990211725234985,7.696693181991577,27.365315198898315
4538,9873,5.833120107650757,7.604602813720703,3.1314125061035156,5.90889835357666,17.343097925186157
6332,378,0.03685450553894043,0.02887129783630371,0.02263045310974121,0.11864733695983887,0.36211252212524414
23517,96320,13.52180814743042,16.094482898712158,5.242262601852417,15.817001104354858,21.017014980316162
40499,5500,2.749621868133545,4.077885389328003,7.310274600982666,3.6849896907806396,27.689944744110107
40701,5000,15.990707397460938,18.07561230659485,4.659324407577515,16.091760873794556,14.446169376373291
40923,92000,14.032935619354248,11.339566946029663,23.923795223236084,19.883174419403076,284.83385705947876
40927,60000,22.00365400314331,33.87063789367676,42.55271553993225,92.69412517547607,487.2148184776306
40966,552,0.10346007347106934,0.05481553077697754,0.07432365417480469,0.17064213752746582,2.3717775344848633
40978,3279,2.794642210006714,1.7365691661834717,0.7688126564025879,1.4300427436828613,2.436940908432007
40979,2000,2.1970155239105225,0.7414779663085938,0.966576337814331,5.287777423858643,4.9928297996521
40982,1941,0.48545336723327637,0.5279097557067871,0.6419084072113037,0.5285258293151855,3.8744165897369385
40983,4839,16.516196489334106,16.186642169952393,1.8312098979949951,13.906407356262207,15.357102155685425
40984,2310,0.546342134475708,0.7784101963043213,1.1362743377685547,0.7206814289093018,3.2521345615386963
40994,540,0.09673047065734863,0.07876420021057129,0.05910205841064453,0.17317438125610352,0.8228065967559814
40996,70000,8.350719690322876,11.080723524093628,21.905641078948975,21.556347370147705,123.60136699676514
41027,44819,10.40588927268982,10.568553686141968,10.455562591552734,9.77745771408081,9.92095160484314
