dataset_id,KM_CH,KM_Sil,KM_Dunn,KM_Gamma,KM_Tau,KM_DB,KM_XB,KM_SD_Scat,KM_SD_Dis,KM_RT,WA_CH,WA_Sil,WA_Dunn,WA_Gamma,WA_Tau,WA_DB,WA_XB,WA_SD_Scat,WA_SD_Dis,WA_RT,AA_CH,AA_Sil,AA_Dunn,AA_Gamma,AA_Tau,AA_DB,AA_XB,AA_SD_Scat,AA_SD_Dis,AA_RT,GMd_CH,GMd_Sil,GMd_Dunn,GMd_Gamma,GMd_Tau,GMd_DB,GMd_XB,GMd_SD_Scat,GMd_SD_Dis,GMd_RT,GMf_CH,GMf_Sil,GMf_Dunn,GMf_Gamma,GMf_Tau,GMf_DB,GMf_XB,GMf_SD_Scat,GMf_SD_Dis,GMf_RT
6,361.5968926053697,0.15240891144470625,0.05123155195785594,0.8404858958750404,0.8395671229799985,1.6221082714016395,30.577923393780125,0.4023387090939976,5.576625306655447,1.3745681149571678,308.5745109359198,0.1186406718965065,0.0978231976089037,0.7921876792781379,0.7912366988298111,1.8268398514210338,8.443103547941057,0.45440283849820046,6.740610513450909,1.8911277239662219,215.98792881065197,0.09922036353310759,0.08295018954139968,0.7158394085059756,0.7148161460617815,1.3625492722263823,13.769330663626445,0.4479594571594172,4.697092656708533,1.137154764682374,304.846648153559,0.10153534006586205,0.04944681764341486,0.7807032341587439,0.7797445141033965,1.9430889082461553,34.022309516483325,0.4859197754991856,8.118953550109417,2.512488633124126,224.17899047464337,0.0818819612075244,0.03901371573204351,0.6757848012040398,0.6748813258904758,2.3531424344520753,40.50835802372022,0.5791512195465105,12.122005313825513,7.721899794794039
11,136.8272049370018,0.17432194368312567,0.14285714285714285,0.48130582824075796,0.46505112268180987,1.690818662043829,5.555714285714285,0.7706341813286924,2.258572730682638,0.7682923817755277,126.51851068330868,0.1629082405581616,0.14285714285714285,0.46521182541343326,0.4494732552158165,1.7673966725036658,5.686616541353383,0.7937836585755195,2.409900730399298,0.8581329591090276,133.13799218270887,0.1687687824291085,0.14285714285714285,0.47005277240660465,0.4542263690250769,1.7465133196821665,5.6018625827814565,0.781129514845385,2.5999856178407303,0.9001260733244237,133.28571428571428,0.16903385826863765,0.14285714285714285,0.47038721751591106,0.45455431297022514,1.7429187229834142,5.6,0.7809334695024032,2.5915232586774564,0.8959999999999999,127.1141083631031,0.16217093645150776,0.14285714285714285,0.47165896842668975,0.4556169970192692,1.7544717847031064,5.678885825648826,0.7907585041820925,2.386098830235966,0.8424841895761586
12,263.8154853967236,0.1806209095946546,0.13698717702380314,0.8345663122670438,0.8345663122670438,1.7605184913147198,6.099758342593391,0.489664705587669,1.0229061944486368,1.3108772603938033,235.64989697410985,0.17425875409819924,0.15734826674903382,0.8183965621634616,0.8183965621634616,1.8684811330859492,3.9932115316317547,0.5504004504358198,0.854008574914507,1.060824744762391,177.2422274807534,0.1768082597494019,0.15834342924764072,0.7742115295032337,0.7742115295032337,1.4253337545462617,4.521335268902538,0.5689730161045752,0.7349898402191821,0.7887757283482851,253.5679344995686,0.17587132877051642,0.135132853917678,0.8355748203333315,0.8355748203333315,1.824048821590225,6.259071102897261,0.5281838065976093,1.0377053813486892,1.3590136583975299,261.35281789384555,0.18347232008731557,0.14440985844653548,0.8516573946298227,0.8516573946298227,1.7134543940150722,6.13089367881779,0.5055542267692167,0.9962603055061522,1.2645961392383296
14,108.41618193757458,0.08843592236083285,0.1579271981640351,0.6533519632129372,0.6533519632129372,2.695433886542867,4.837611985349397,0.7186537399237236,2.179745457235275,2.167919540080374,99.88156409871148,0.07293814693061554,0.23481507490962084,0.5530571504766085,0.5530571504766085,2.9197244556798014,1.9709540262177698,0.7032691343387044,2.3079539257928743,2.5753718209405627,9.201985903624367,0.07488508934083485,0.3372121820786432,0.5901735869193053,0.5901735869193053,1.612976191645308,1.3934892388158138,0.8692995744995891,1.4207649121385062,1.5346196647106607,103.23105037613136,0.07472148803363306,0.1497911630006405,0.5829193439081757,0.5829193439081757,2.9476263569795647,4.679837788860167,0.7059250954013442,2.3250567017138986,2.650386288760715,106.10364133253927,0.08315029585849558,0.16712246565393674,0.6282273026069091,0.6282273026069091,2.789385466443728,4.113438252467727,0.7060874738623943,2.293616691730291,2.5454847212590876
15,1026.2623876670816,0.5967981179111459,0.15544635336100424,0.9349951228702145,0.9346207527912976,0.757258563025291,2.176278163877124,0.5260921513584272,1.3028076252553502,0.14820857451200786,913.5132098983546,0.5690540476621256,0.1103354568734741,0.8690980221929222,0.8685526311351373,0.7879554654917937,4.327448098347452,0.5390282031218271,1.3700480467305018,0.17549166457073312,958.1066359188977,0.5884747098422658,0.17220347337908745,0.934007436312123,0.9336203712132751,0.775948024541186,1.6371117130139736,0.5477909434113819,1.2999550597637615,0.15369597281185693,723.2414342938652,0.5180729985898153,0.03883678186903086,0.7678842599840453,0.7666251920352106,0.8571417196624278,34.396657815499076,0.5773057581479956,1.4670631158529854,0.22849086017717848,474.73632539379264,0.4082219305343175,0.03883678186903086,0.5479661059225869,0.5458093557642008,0.9910633544208425,41.79258801897925,0.6179663878741903,1.666455861250771,0.3582134478986553
16,89.4595980770249,0.09034160289931543,0.18266569281617231,0.6936151802208933,0.6936151802208933,2.6522186339521494,5.988863961667919,0.7198458743804097,2.311085704747897,2.44737226198713,81.17382048049294,0.07944656105064087,0.2693131619277518,0.6066603458252809,0.6066603458252809,2.6864769550558907,2.444569722891549,0.7277516969114505,2.191143097829351,2.1941979445566346,25.27042120513856,0.02435704083093881,0.34921856684565383,0.4257294687690355,0.4257294687690355,2.1454576039960287,1.7675541455500112,0.8146400886046454,2.1572721148953162,2.45017446201597,86.30483839502551,0.07918563923869293,0.2397595285504729,0.6583905122128512,0.6583905122128512,2.7372121346763216,3.2220659880062783,0.721178803914031,2.6676284011239035,3.052496739640863,86.97245950847847,0.08472810689542921,0.18266569281617231,0.678941960819655,0.678941960819655,2.6824974117181286,6.0372116697618186,0.7259038758401642,2.5115209455008976,2.838751891282241
18,4160.041384154382,0.5356510500225047,0.01699239267505035,0.964728868860779,0.964728868860779,0.7034022387687446,69.53884623953559,0.05842373321208649,10.782660824541258,0.295442258408871,3855.54161655029,0.5173392395947733,0.01695968727250911,0.9551661269338265,0.9551661269338265,0.7034767072878596,58.43368078495241,0.05959469236460734,9.524183450686412,0.24208128312587912,1347.680499578155,0.4064751873776561,0.02440273909129089,0.9099988609930826,0.9099988609930826,0.6522132132763393,73.98518205232433,0.09084204994187733,5.579903298035172,0.2780711022790365,3375.456458169061,0.5268899149545915,0.012137815794732923,0.9621835295021346,0.9621835295021346,0.7992446839324792,100.82438222813285,0.08953955188734633,8.452956846551318,0.2435037161606718,1776.0170216770061,0.4477530124726811,0.006189915977732585,0.8904056995875477,0.8904056995875477,1.261666508457664,513.8258617365086,0.19977179663427003,8.382176507378599,0.47120742430149165
22,241.30893241990006,0.1519572365240931,0.1006949763902389,0.7680740850290992,0.7680740850290992,1.8393016175480472,7.856706615828534,0.5215759859006183,2.318772729769584,1.1387501427746738,206.75998772040683,0.12320153392621634,0.1565557047166302,0.700813784322394,0.700813784322394,1.9199477611300755,3.526743094699745,0.5674677230491433,2.4231727673771437,1.3737247763756832,90.342774372571,0.12213243542977611,0.16834652587629326,0.6492637392069279,0.6492637392069279,1.1406984253320818,3.991343540069355,0.5577540536279826,1.3022299097946346,0.7978920296810293,220.27835812285335,0.11700204278278768,0.09687912464821388,0.7309370157561577,0.7309370157561577,2.114547709763227,8.892224435110307,0.5932916575454817,3.1090716848355733,2.3048495940945273,215.44654674824358,0.13647109248251382,0.12028437370829327,0.7221427159123646,0.7221427159123646,1.991458644254513,5.832204744166943,0.5563134113665289,2.734678196778418,1.6849567524647953
23,1989.5777770238647,0.422885655552892,0.02981423969999717,0.7987900132798742,0.7971853659296477,0.8795082986716639,24.626711706890397,0.28541342083522564,7.603971635667088,0.24055873245732248,1639.6160904509588,0.3571367364089883,0.029450003202688,0.7370706862747702,0.7354474747007639,1.0508671314239244,28.25610072617027,0.3051983235385481,8.525848867617873,0.35670037251629516,876.1235814540152,0.4626862778318489,0.035357324511712876,0.7371686371015105,0.735854309056468,0.595367328918668,41.64633440298402,0.4535958267941034,4.63453310012815,0.17771948175462665,1907.3409116410478,0.41750616270870755,0.029450003202688,0.7885847760878221,0.7868930126232896,0.8717937392190521,25.393162230567608,0.30293917170355467,7.455005736803664,0.23915442602313233,1910.1315252624097,0.41986482442289663,0.029450003202688,0.796602871202362,0.7949801741729605,0.8928312070074326,25.366372445737095,0.30823501122315405,7.393984551089126,0.23497509833595628
28,463.8076212358029,0.18686078710765114,0.15791017174776795,0.8325895948319662,0.8325864800730158,1.8496474758331065,5.79314321059789,0.5978689606854317,0.9654431289626517,1.131521954808267,433.177724054862,0.17405645689924876,0.20867454587061976,0.7896419163945376,0.789638837671594,1.8976811016626627,3.077047603895022,0.6127512375149008,0.9872979545366825,1.1754299883652803,250.7908713396999,0.11134014724187209,0.1806017353315121,0.6269759641974006,0.6269727228084504,1.7546869457593683,4.671142673928405,0.6723857213936573,1.2464067088280701,1.7240194539785065,398.0952940079521,0.15083270098089172,0.07078360939458037,0.7184834441348605,0.7184802832372069,2.2125811942228184,25.24398090985298,0.6148365821059686,1.1891313806921837,1.7143872907709046,427.59312943991773,0.1678090830266468,0.1353313518485171,0.7720237552364415,0.7720203757560119,2.065424369960386,7.354291795037497,0.610351352615266,1.0925817412916792,1.481466953219185
