dataset_id,n,p,d,sp,ke,ch
6,20000,16,0.008872747421264648,0.009441137313842773,16.35462260246277,23.047080039978027
11,625,4,0.0030159950256347656,0.003474712371826172,18.30620813369751,23.681492567062378
12,2000,216,0.11737799644470215,0.09941267967224121,21.48438549041748,28.239914894104004
14,2000,76,0.03715634346008301,0.03534960746765137,19.275551795959473,24.78035593032837
15,683,9,0.004972219467163086,0.0050983428955078125,19.414706468582153,23.8084774017334
16,2000,64,0.02715587615966797,0.025453805923461914,19.518640518188477,24.593411445617676
18,2000,6,0.004331827163696289,0.004221439361572266,21.615108489990234,26.438757181167603
22,2000,47,0.01847553253173828,0.020864248275756836,19.620715618133545,24.484411478042603
23,1473,2,0.0026674270629882812,0.0031435489654541016,20.70168137550354,24.22724437713623
28,5620,64,0.024747610092163086,0.03858470916748047,20.289842128753662,24.863609552383423
29,666,6,0.00517582893371582,0.004404783248901367,19.949409246444702,23.610507249832153
31,1000,7,0.004230499267578125,0.004349470138549805,19.360135793685913,23.743637084960938
32,10992,16,0.0061283111572265625,0.010488033294677734,18.99446940422058,23.9612877368927
37,768,8,0.004701137542724609,0.0053365230560302734,19.924949645996094,24.173030614852905
44,4601,57,0.02783513069152832,0.02895498275756836,19.81184458732605,24.3107430934906
54,846,18,0.0071599483489990234,0.008653640747070312,23.484325408935547,26.493539810180664
151,45312,7,0.0048334598541259766,0.0068356990814208984,21.654754400253296,24.331251859664917
182,6430,36,0.015648841857910156,0.021790742874145508,19.13788104057312,24.136926412582397
188,641,14,0.008198261260986328,0.009043455123901367,19.65684413909912,24.215615272521973
300,7797,617,0.24033474922180176,0.4941823482513428,24.95457696914673,38.80974245071411
307,990,10,0.004969120025634766,0.006284236907958984,22.89935278892517,24.0900776386261
458,841,70,0.026624202728271484,0.024033784866333008,20.607898950576782,25.524726629257202
554,70000,784,2.6176979541778564,2.1809680461883545,23.512333154678345,31.524523496627808
1049,1458,37,0.015124320983886719,0.014036893844604492,19.162259817123413,24.36623454093933
1050,1563,37,0.01304173469543457,0.0164339542388916,18.955721616744995,24.05736994743347
1053,10880,21,0.010782241821289062,0.012868165969848633,19.2203631401062,24.43110728263855
1063,522,21,0.008070707321166992,0.00800466537475586,19.417685508728027,24.015124559402466
1067,2109,21,0.008353471755981445,0.009608983993530273,19.155871152877808,24.32467484474182
1068,1109,21,0.0077970027923583984,0.008793354034423828,19.958977699279785,25.1705219745636
1461,45211,7,0.00797128677368164,0.00778961181640625,22.014463663101196,24.499143838882446
1462,1372,4,0.003358602523803711,0.003977298736572266,19.56378674507141,24.353398323059082
1464,748,4,0.003053426742553711,0.0035576820373535156,19.245307445526123,24.47322988510132
1468,1080,856,2.854835033416748,1.738466501235962,22.581323385238647,28.23089337348938
1475,6118,51,0.01891613006591797,0.028389692306518555,19.101473808288574,23.71217107772827
1478,10299,561,1.3585638999938965,0.9654161930084229,23.306917667388916,33.86748504638672
1480,583,9,0.0043909549713134766,0.004254579544067383,17.73290991783142,19.649388790130615
1485,2600,500,0.3040430545806885,0.2106611728668213,19.536996841430664,29.43762969970703
1486,34465,89,0.024930953979492188,0.03871035575866699,16.461162328720093,21.404517650604248
1487,2534,72,0.023290395736694336,0.02466297149658203,16.75734567642212,22.41572070121765
1489,5404,5,0.0031812191009521484,0.004073143005371094,17.16932964324951,20.696238040924072
1494,1055,41,0.010615110397338867,0.011574983596801758,16.189759731292725,23.26218056678772
1497,5456,24,0.00970911979675293,0.015757083892822266,21.94062614440918,24.427441596984863
1501,1593,256,0.11372566223144531,0.08726358413696289,20.95944309234619,27.175379514694214
1510,569,30,0.011825084686279297,0.010973453521728516,31.360161542892456,25.1232168674469
1590,48842,6,0.0040476322174072266,0.006784200668334961,20.00662899017334,24.733708143234253
4134,3751,1776,7.662071704864502,4.03933048248291,27.527646780014038,33.84937238693237
4538,9873,32,0.0089569091796875,0.013819456100463867,24.82458233833313,20.362271547317505
6332,378,18,0.006656646728515625,0.005789756774902344,15.732588529586792,20.436091423034668
23517,96320,21,0.007606983184814453,0.011208295822143555,22.606922388076782,20.50362277030945
40499,5500,40,0.012074708938598633,0.018565654754638672,15.834438800811768,20.469075918197632
40701,5000,16,0.005685567855834961,0.007664203643798828,19.835360527038574,21.18089509010315
40923,92000,1024,0.9592771530151367,0.6418066024780273,22.689900875091553,36.06885242462158
40927,60000,3072,5.776537656784058,4.8612751960754395,48.77621364593506,102.83005356788635
40966,552,77,0.025039196014404297,0.02183389663696289,21.405710697174072,26.37857985496521
40978,3279,3,0.0030939579010009766,0.005408763885498047,20.23573923110962,25.061397075653076
40979,2000,240,0.12541699409484863,0.09559750556945801,22.546663522720337,28.70557689666748
40982,1941,27,0.016047954559326172,0.012815713882446289,20.668102502822876,25.453410148620605
40983,4839,5,0.0036776065826416016,0.0048902034759521484,20.367724418640137,24.951348781585693
40984,2310,16,0.007044553756713867,0.009543418884277344,20.377135753631592,25.363986015319824
40994,540,18,0.010333538055419922,0.012052536010742188,28.22824239730835,25.19308042526245
40996,70000,784,0.3076910972595215,0.5123884677886963,27.151856184005737,38.37906789779663
41027,44819,6,0.004183053970336914,0.0058023929595947266,20.79017734527588,24.513347625732422
