repetition,fold,mf_set,learner,dataset_id,dataset_name,top1_predicted,SRC,WRC,NDCG@3,Top1Hit,Regret@1,ARI,AMI
0,0,MeanRank,Baseline,6,letter,AA,0.6,0.4270072992700729,0.9036904578863016,0.0,0.5,0.05646500122894982,0.2855365406843245
0,0,MeanRank,Baseline,16,mfeat-karhunen,AA,0.39999999999999997,0.4343065693430659,0.792871404409918,0.0,0.75,0.10266997241611811,0.3347369419150795
0,0,MeanRank,Baseline,151,electricity,AA,0.39999999999999997,0.5,0.8746714351609314,1.0,0.0,0.00014073121802361723,0.0001014216716991601
0,0,MeanRank,Baseline,23517,numerai28.6,AA,0.6,0.427007299270073,0.9036904578863016,0.0,0.25,1.3873919245597174e-05,0.00040805393242904795
0,0,MeanRank,Baseline,40701,churn,AA,0.35909242322980395,0.5539248096661942,0.8697485913495037,1.0,0.0,0.0016908672914999015,0.00023778599508155002
0,0,MeanRank,Baseline,40982,steel-plates-fault,AA,0.19999999999999998,0.208029197080292,0.792871404409918,0.0,0.5,0.21709612855368593,0.32297262053690523
0,0,MeanRank,Baseline,40983,wilt,AA,0.5642880936468347,0.6279309158044709,0.9162783296289364,1.0,0.0,-0.000388493192815281,-0.0003016569537181379
0,0,MajorityRank,Baseline,6,letter,AA,0.6,0.4270072992700729,0.9036904578863016,0.0,0.5,0.05646500122894982,0.2855365406843245
0,0,MajorityRank,Baseline,16,mfeat-karhunen,AA,0.39999999999999997,0.4343065693430659,0.792871404409918,0.0,0.75,0.10266997241611811,0.3347369419150795
0,0,MajorityRank,Baseline,151,electricity,AA,0.39999999999999997,0.5,0.8746714351609314,1.0,0.0,0.00014073121802361723,0.0001014216716991601
0,0,MajorityRank,Baseline,23517,numerai28.6,AA,0.6,0.427007299270073,0.9036904578863016,0.0,0.25,1.3873919245597174e-05,0.00040805393242904795
0,0,MajorityRank,Baseline,40701,churn,AA,0.35909242322980395,0.5539248096661942,0.8697485913495037,1.0,0.0,0.0016908672914999015,0.00023778599508155002
0,0,MajorityRank,Baseline,40982,steel-plates-fault,AA,0.19999999999999998,0.208029197080292,0.792871404409918,0.0,0.5,0.21709612855368593,0.32297262053690523
0,0,MajorityRank,Baseline,40983,wilt,AA,0.5642880936468347,0.6279309158044709,0.9162783296289364,1.0,0.0,-0.000388493192815281,-0.0003016569537181379
0,0,Distance,kNN,6,letter,KM,0.7181848464596079,0.6200353381664689,0.9854904886373149,1.0,0.0,0.12003989036689384,0.3458481131492737
0,0,Distance,kNN,16,mfeat-karhunen,KM,0.6,0.5255474452554745,0.8601619237982463,1.0,0.0,0.6102743009766289,0.6937446884214072
0,0,Distance,kNN,151,electricity,AA,0.49999999999999994,0.5656934306569342,0.8192619084227396,1.0,0.0,0.00014073121802361723,0.0001014216716991601
0,0,Distance,kNN,23517,numerai28.6,KM,0.6668859288553501,0.6467284882738835,0.9445904732618082,1.0,0.0,-2.5658449056591446e-05,-1.3313420891169222e-05
0,0,Distance,kNN,40701,churn,AA,0.35909242322980395,0.5539248096661942,0.8697485913495037,1.0,0.0,0.0016908672914999015,0.00023778599508155002
0,0,Distance,kNN,40982,steel-plates-fault,AA,0.3,0.2737226277372263,0.7374618776717262,0.0,0.5,0.21709612855368593,0.32297262053690523
0,0,Distance,kNN,40983,wilt,AA,0.8207826816681234,0.7806708682974504,0.9162783296289364,1.0,0.0,-0.000388493192815281,-0.0003016569537181379
0,0,Distance,RF,6,letter,KM,0.49999999999999994,0.5656934306569342,0.8192619084227396,1.0,0.0,0.12003989036689384,0.3458481131492737
